key,vsm_enero,vsm_febrero,PagosVencidos_enero,PagosVencidos_febrero,RemainingDebt_enero,RemainingDebt_febrero,estado
0,2686.1440000000002,2686.1440000000002,0,0,203.19,204.43,Jalisco
1,2686.1440000000002,2686.1440000000002,0,0,42.78,42.63,Jalisco
2,2686.1440000000002,2686.1440000000002,0,0,190.63,189.87,Jalisco
3,2686.1440000000002,2686.1440000000002,0,0,52.0,51.81,Jalisco
4,2686.1440000000002,2686.1440000000002,0,0,194.85,197.55,Jalisco
5,2686.1440000000002,2686.1440000000002,0,0,328.79,326.04,Jalisco
6,2686.1440000000002,2686.1440000000002,0,0,175.42,174.66,Jalisco
7,2686.1440000000002,2686.1440000000002,0,0,258.76,257.7,Jalisco
8,2686.1440000000002,2686.1440000000002,0,0,405.85,408.41,Jalisco
9,2686.1440000000002,2686.1440000000002,0,1,114.24,115.02,Jalisco
10,2686.1440000000002,2686.1440000000002,0,0,69.51,68.46,Jalisco
11,2686.1440000000002,2686.1440000000002,0,0,200.86,196.48,Jalisco
12,2686.1440000000002,2686.1440000000002,0,0,478.11,476.13,Jalisco
13,2686.1440000000002,2686.1440000000002,1,2,166.01,166.58,Jalisco
14,2686.1440000000002,2686.1440000000002,0,0,79.0,78.72,Jalisco
15,2686.1440000000002,2686.1440000000002,0,0,162.99,162.32,Jalisco
16,2686.1440000000002,2686.1440000000002,0,0,47.84,47.66,Jalisco
17,2686.1440000000002,2686.1440000000002,0,1,102.93,102.08,Jalisco
18,2686.1440000000002,2686.1440000000002,0,0,52.76,51.95,Jalisco
19,2686.1440000000002,2686.1440000000002,0,0,616.52,607.42,Jalisco
20,2686.1440000000002,2686.1440000000002,0,0,72.12,71.87,Jalisco
21,2686.1440000000002,2686.1440000000002,0,0,170.17,169.47,Jalisco
22,2686.1440000000002,2686.1440000000002,2,2,230.35,227.14,Jalisco
23,2686.1440000000002,2686.1440000000002,0,0,94.05,93.67,Jalisco
24,2686.1440000000002,2686.1440000000002,0,1,77.36,77.09,Jalisco
25,2686.1440000000002,2686.1440000000002,0,0,69.24,68.99,Jalisco
26,2686.1440000000002,2686.1440000000002,0,0,204.93,201.9,Jalisco
27,2686.1440000000002,2686.1440000000002,0,0,75.12,73.58,Jalisco
28,2686.1440000000002,2686.1440000000002,0,0,94.02,91.8,Jalisco
29,2686.1440000000002,2686.1440000000002,0,0,78.24,77.99,Jalisco
30,2686.1440000000002,2686.1440000000002,0,1,128.72,129.51,Jalisco
31,2686.1440000000002,2686.1440000000002,0,0,284.98,283.81,Jalisco
32,2686.1440000000002,2686.1440000000002,0,0,28.56,28.13,Jalisco
33,2686.1440000000002,2686.1440000000002,0,0,146.63,147.64,Jalisco
34,2686.1440000000002,2686.1440000000002,0,0,136.83,135.81,Jalisco
35,2686.1440000000002,2686.1440000000002,0,0,179.46,178.69,Jalisco
36,2686.1440000000002,2686.1440000000002,1,2,36.35,36.64,Jalisco
37,2686.1440000000002,2686.1440000000002,0,0,155.66,154.69,Jalisco
38,2686.1440000000002,2686.1440000000002,0,0,146.97,146.51,Jalisco
39,2686.1440000000002,2686.1440000000002,0,0,78.16,77.53,Jalisco
40,2686.1440000000002,2686.1440000000002,0,0,143.36,142.8,Jalisco
41,2686.1440000000002,2686.1440000000002,0,0,45.38,21.03,Jalisco
42,2686.1440000000002,2686.1440000000002,0,0,125.65,123.79,Jalisco
43,2686.1440000000002,2686.1440000000002,0,0,47.73,45.87,Jalisco
44,2686.1440000000002,2686.1440000000002,0,0,28.23,28.13,Quintana Roo
45,2686.1440000000002,2686.1440000000002,1,0,94.21,93.01,Jalisco
46,2686.1440000000002,2686.1440000000002,0,0,96.67,96.25,Jalisco
47,2686.1440000000002,2686.1440000000002,1,1,86.79,85.35,Jalisco
48,2686.1440000000002,2686.1440000000002,0,0,135.62,135.08,Jalisco
49,2686.1440000000002,2686.1440000000002,0,0,108.83,107.94,Jalisco
50,2686.1440000000002,2686.1440000000002,0,1,62.77,62.53,Jalisco
51,2686.1440000000002,2686.1440000000002,0,0,130.64,130.12,Jalisco
52,2686.1440000000002,2686.1440000000002,0,0,238.96,238.06,Jalisco
53,2686.1440000000002,2686.1440000000002,0,0,162.92,162.31,Jalisco
54,2686.1440000000002,2686.1440000000002,0,0,134.73,134.15,Jalisco
55,2686.1440000000002,2686.1440000000002,0,0,104.08,103.66,Jalisco
56,2686.1440000000002,2686.1440000000002,0,0,199.02,198.04,Jalisco
57,2686.1440000000002,2686.1440000000002,0,0,46.61,45.81,Jalisco
58,2686.1440000000002,2686.1440000000002,0,1,353.27,351.7,Jalisco
59,2686.1440000000002,2686.1440000000002,0,1,225.01,223.86,Jalisco
60,2686.1440000000002,2686.1440000000002,0,0,42.73,42.58,Jalisco
61,2686.1440000000002,2686.1440000000002,0,1,211.35,210.43,Jalisco
62,2686.1440000000002,2686.1440000000002,0,0,171.68,163.49,Jalisco
63,2686.1440000000002,2686.1440000000002,3,4,753.4,763.78,Jalisco
64,2686.1440000000002,2686.1440000000002,0,0,242.51,241.58,Jalisco
65,2686.1440000000002,2686.1440000000002,1,2,189.27,189.31,Jalisco
66,2686.1440000000002,2686.1440000000002,0,0,113.15,110.78,Jalisco
67,2686.1440000000002,2686.1440000000002,0,0,76.52,76.28,Jalisco
68,2686.1440000000002,2686.1440000000002,0,0,113.08,111.41,Jalisco
69,2686.1440000000002,2686.1440000000002,0,0,131.27,130.74,Jalisco
70,2686.1440000000002,2686.1440000000002,0,0,200.31,199.51,Jalisco
71,2686.1440000000002,2686.1440000000002,0,0,123.31,122.79,Jalisco
72,2686.1440000000002,2686.1440000000002,0,0,96.96,96.15,Jalisco
73,2686.1440000000002,2686.1440000000002,0,0,75.79,75.55,Jalisco
74,2686.1440000000002,2686.1440000000002,0,0,182.9,182.18,Jalisco
75,2686.1440000000002,2686.1440000000002,0,0,213.17,212.34,Jalisco
76,2686.1440000000002,2686.1440000000002,0,0,110.42,109.56,Jalisco
77,2686.1440000000002,2686.1440000000002,1,0,92.44,91.08,Jalisco
78,2686.1440000000002,2686.1440000000002,0,0,48.73,47.56,San Luis Potosi
79,2686.1440000000002,2686.1440000000002,0,0,101.36,101.94,San Luis Potosi
80,2686.1440000000002,2686.1440000000002,0,0,42.65,40.29,San Luis Potosi
81,2686.1440000000002,2686.1440000000002,0,0,149.0,148.26,San Luis Potosi
82,2686.1440000000002,2686.1440000000002,0,0,231.96,230.85,San Luis Potosi
83,2686.1440000000002,2686.1440000000002,0,0,45.95,40.81,San Luis Potosi
84,2686.1440000000002,2686.1440000000002,1,1,164.06,165.0,San Luis Potosi
85,2686.1440000000002,2686.1440000000002,1,0,189.04,181.2,San Luis Potosi
86,2686.1440000000002,2686.1440000000002,0,0,228.35,229.54,San Luis Potosi
